prodcode,TermFromEMIS,class,bnf,substance,group
x3032841000033119,Morphine 20mg modified-release granules sachets sugar free,,,morphine,other_opiates
x3032941000033110,Morphine 30mg modified-release granules sachets sugar free,,,morphine,other_opiates
x940841000033116,MST Continus Suspension 30mg granules sachets (Napp Pharmaceuticals Ltd),,,morphine,other_opiates
x1462241000033110,Trazodone 150mg modified-release tablets,,,trazodone,antidepressant
x929841000033110,Molipaxin CR 150mg tablets (Aventis Pharma),,,trazodone,antidepressant
x284741000033110,Clomipramine 25mg/5ml oral solution,,,clomipramine,antidepressant
x68641000033117,Anafranil 25mg/5ml syrup (Novartis Pharmaceuticals UK Ltd),,,clomipramine,antidepressant
x1043041000033113,Paramol tablets (SSL International Plc),,,codeine,other_opiates
x1140541000033115,Propain caplets (Ceuta Healthcare Ltd),,,codeine,other_opiates
x8246141000033119,Solpadeine Plus capsules (Omega Pharma Ltd),,,codeine,other_opiates
x1512141000033114,Veganin tablets (Omega Pharma Ltd),,,codeine,other_opiates
x3934441000033118,Codis 500 dispersible tablets (Reckitt Benckiser Healthcare (UK) Ltd),,,codeine,other_opiates
x3934341000033112,Aspirin 500mg / Codeine 8mg dispersible tablets sugar free,,,codeine,other_opiates
x2980341000033118,Tramadol 50mg orodispersible tablets sugar free,,,tramadol,other_opiates
x2980441000033112,Zamadol Melt 50mg tablets (Meda Pharmaceuticals Ltd),,,tramadol,other_opiates
x251441000033113,Chloroform and Morphine tincture,,,morphine,other_opiates
x3029741000033115,Mirtazapine 45mg orodispersible tablets,,,mirtazapine,antidepressant
x3029941000033117,Zispin SolTab 45mg orodispersible tablets (Merck Sharp & Dohme Ltd),,,mirtazapine,antidepressant
x2659341000033116,Methadone 50mg/2ml solution for injection ampoules,,,methadone,oat
x3030741000033111,Synastone 50mg/2ml solution for injection ampoules (Auden McKenzie (Pharma Division) Ltd),,,methadone,oat
x5836741000033118,Physeptone 50mg/2ml solution for injection ampoules (Martindale Pharmaceuticals Ltd),,,methadone,oat
x5836641000033110,Physeptone 50mg/1ml solution for injection ampoules (Martindale Pharmaceuticals Ltd),,,methadone,oat
x3030641000033119,Synastone 50mg/1ml solution for injection ampoules (Auden McKenzie (Pharma Division) Ltd),,,methadone,oat
x883141000033115,Methadone 50mg/1ml solution for injection ampoules,,,methadone,oat
x3180341000033112,Tramadol 37.5mg / Paracetamol 325mg tablets,,,tramadol,other_opiates
x3057641000033117,Tramacet 37.5mg/325mg tablets (Grunenthal Ltd),,,tramadol,other_opiates
x1403141000033111,Syndol caplets (Sanofi),,,codeine,other_opiates
x3177641000033112,Duloxetine 20mg gastro-resistant capsules,,,duloxetine,antidepressant
x3177841000033113,Yentreve 20mg gastro-resistant capsules (Eli Lilly and Company Ltd),,,duloxetine,antidepressant
x3177941000033117,Yentreve 40mg gastro-resistant capsules (Eli Lilly and Company Ltd),,,duloxetine,antidepressant
x3177741000033115,Duloxetine 40mg gastro-resistant capsules,,,duloxetine,antidepressant
x5888641000033118,Amitriptyline 10mg/5ml oral suspension,,,amitriptyline,antidepressant
x4434141000033114,Chlordiazepoxide 5mg/5ml oral suspension,,,chlordiazepoxide,benzodiazepine
x4431541000033115,Clomipramine 50mg/5ml oral suspension,,,clomipramine,antidepressant
x3851441000033111,Co-dydramol 10mg/500mg/5ml oral suspension,,,codeine,other_opiates
x5992241000033114,Dosulepin 75mg/5ml oral suspension,,,dosulepin,antidepressant
x3089241000033119,Dosulepin 75mg/5ml oral solution,,,dosulepin,antidepressant
x5891041000033116,Dosulepin 25mg/5ml oral suspension,,,dosulepin,antidepressant
x3089141000033114,Dosulepin 25mg/5ml oral solution,,,dosulepin,antidepressant
x4954041000033114,Doxepin 50mg/5ml oral solution,,,doxepin,antidepressant
x5968141000033119,Gabapentin 100mg/5ml oral solution,,,gabapentin,gabapentinoids
x5968241000033114,Gabapentin 100mg/5ml oral suspension,,,gabapentin,gabapentinoids
x5890841000033118,Gabapentin 250mg/5ml oral suspension,,,gabapentin,gabapentinoids
x5968541000033111,Gabapentin 300mg/5ml oral solution,,,gabapentin,gabapentinoids
x5968641000033112,Gabapentin 300mg/5ml oral suspension,,,gabapentin,gabapentinoids
x5892441000033117,Lorazepam 1mg/5ml oral solution,,,lorazepam,benzodiazepine
x3923841000033119,Lorazepam 1mg/5ml oral suspension,,,lorazepam,benzodiazepine
x4663341000033118,Lorazepam 250micrograms/5ml oral suspension,,,lorazepam,benzodiazepine
x5892341000033111,Lorazepam 500micrograms/5ml oral solution,,,lorazepam,benzodiazepine
x3308041000033119,Lorazepam 500micrograms/5ml oral suspension,,,lorazepam,benzodiazepine
x5975341000033119,Sertraline 100mg/5ml oral suspension,,,sertraline,antidepressant
x4148341000033116,Sertraline 50mg/5ml oral suspension,,,sertraline,antidepressant
x4498541000033116,Venlafaxine 37.5mg/5ml oral suspension,,,venlafaxine,antidepressant
x5991641000033117,Diazepam 10mg/5ml oral solution,,,diazepam,benzodiazepine
x5991741000033114,Diazepam 2.5mg/5ml oral solution,,,diazepam,benzodiazepine
x5978741000033112,Zopiclone 7.5mg/5ml oral suspension,,,zopiclone,z-drugs
x4957241000033112,Zopiclone 3.75mg/5ml oral suspension,,,zopiclone,z-drugs
x3058741000033113,Mirtazapine 15mg/ml oral solution sugar free,,,mirtazapine,antidepressant
x140841000033118,Benylin with Codeine oral solution (Pfizer Consumer Healthcare Ltd),,,codeine,other_opiates
x11029341000033114,Butec 5micrograms/hour transdermal patches (Qdem Pharmaceuticals Ltd),,,buprenorphine,other_opiates
x12409541000033116,Busiete 5micrograms/hour transdermal patches (Teva UK Ltd),,,buprenorphine,other_opiates
x12325741000033112,Bupramyl 5micrograms/hour transdermal patches (Mylan),,,buprenorphine,other_opiates
x12603441000033118,Bunov 5micrograms/hour transdermal patches (Glenmark Pharmaceuticals Europe Ltd),,,buprenorphine,other_opiates
x11732541000033112,Reletrans 5micrograms/hour transdermal patches (Sandoz Ltd),,,buprenorphine,other_opiates
x11730941000033119,Panitaz 5micrograms/hour transdermal patches (Dr Reddy's Laboratories (UK) Ltd),,,buprenorphine,other_opiates
x11756241000033110,Sevodyne 5micrograms/hour transdermal patches (Aspire Pharma Ltd),,,buprenorphine,other_opiates
x3343641000033113,BuTrans 5micrograms/hour transdermal patches (Napp Pharmaceuticals Ltd),,,buprenorphine,other_opiates
x3343341000033117,Buprenorphine 5micrograms/hour transdermal patches,,,buprenorphine,other_opiates
x11029541000033119,Butec 20micrograms/hour transdermal patches (Qdem Pharmaceuticals Ltd),,,buprenorphine,other_opiates
x11756441000033111,Sevodyne 20micrograms/hour transdermal patches (Aspire Pharma Ltd),,,buprenorphine,other_opiates
x11730841000033110,Panitaz 20micrograms/hour transdermal patches (Dr Reddy's Laboratories (UK) Ltd),,,buprenorphine,other_opiates
x11732441000033111,Reletrans 20micrograms/hour transdermal patches (Sandoz Ltd),,,buprenorphine,other_opiates
x12603341000033112,Bunov 20micrograms/hour transdermal patches (Glenmark Pharmaceuticals Europe Ltd),,,buprenorphine,other_opiates
x12326041000033117,Bupramyl 20micrograms/hour transdermal patches (Mylan),,,buprenorphine,other_opiates
x12409741000033112,Busiete 20micrograms/hour transdermal patches (Teva UK Ltd),,,buprenorphine,other_opiates
x3343541000033112,Buprenorphine 20micrograms/hour transdermal patches,,,buprenorphine,other_opiates
x3343841000033114,BuTrans 20micrograms/hour transdermal patches (Napp Pharmaceuticals Ltd),,,buprenorphine,other_opiates
x11029441000033115,Butec 10micrograms/hour transdermal patches (Qdem Pharmaceuticals Ltd),,,buprenorphine,other_opiates
x12409641000033115,Busiete 10micrograms/hour transdermal patches (Teva UK Ltd),,,buprenorphine,other_opiates
x12325941000033110,Bupramyl 10micrograms/hour transdermal patches (Mylan),,,buprenorphine,other_opiates
x12603241000033119,Bunov 10micrograms/hour transdermal patches (Glenmark Pharmaceuticals Europe Ltd),,,buprenorphine,other_opiates
x11732241000033110,Reletrans 10micrograms/hour transdermal patches (Sandoz Ltd),,,buprenorphine,other_opiates
x11730741000033117,Panitaz 10micrograms/hour transdermal patches (Dr Reddy's Laboratories (UK) Ltd),,,buprenorphine,other_opiates
x11756341000033117,Sevodyne 10micrograms/hour transdermal patches (Aspire Pharma Ltd),,,buprenorphine,other_opiates
x3343441000033111,Buprenorphine 10micrograms/hour transdermal patches,,,buprenorphine,other_opiates
x3343741000033116,BuTrans 10micrograms/hour transdermal patches (Napp Pharmaceuticals Ltd),,,buprenorphine,other_opiates
x3060041000033115,Morphine sulfate 10mg/10ml solution for injection Minijet pre-filled syringes (UCB Pharma Ltd),,,morphine,other_opiates
x3059941000033118,Morphine sulfate 10mg/10ml solution for injection pre-filled syringes,,,morphine,other_opiates
x6440741000033114,Fencino 12micrograms/hour transdermal patches (Ethypharm UK Ltd),,,fentanyl,other_opiates
x9204341000033115,Mylafent 12micrograms/hour transdermal patches (Mylan),,,fentanyl,other_opiates
x11507641000033116,Victanyl 12micrograms/hour transdermal patches (Actavis UK Ltd),,,fentanyl,other_opiates
x10598241000033114,Yemex 12micrograms/hour transdermal patches (Sandoz Ltd),,,fentanyl,other_opiates
x8884441000033117,Opiodur 12micrograms/hour transdermal patches (RX Farma),,,fentanyl,other_opiates
x3839441000033111,Durogesic DTrans 12micrograms transdermal patches (Janssen-Cilag Ltd),,,fentanyl,other_opiates
x3839341000033117,Fentanyl 12micrograms/hour transdermal patches,,,fentanyl,other_opiates
x4022641000033116,Matrifen 12micrograms/hour transdermal patches (Teva UK Ltd),,,fentanyl,other_opiates
x4386641000033113,Mezolar Matrix 12micrograms/hour transdermal patches (Sandoz Ltd),,,fentanyl,other_opiates
x5300441000033116,Osmanil 12micrograms/hour transdermal patches (Zentiva),,,fentanyl,other_opiates
x11736241000033114,Solpadeine Plus soluble tablets (Omega Pharma Ltd),,,codeine,other_opiates
x3998241000033118,Morphine sulfate 100mg/50ml solution for infusion vials,,,morphine,other_opiates
x10674241000033116,Morphine sulfate 50mg/50ml solution for infusion vials,,,morphine,other_opiates
x3928941000033119,Cipralex 10mg/ml oral drops (Lundbeck Ltd),,,escitalopram,antidepressant
x3928841000033110,Escitalopram 10mg/ml oral drops sugar free,,,escitalopram,antidepressant
x4010841000033112,Suboxone 2mg/500microgram sublingual tablets (Indivior UK Ltd),,,buprenorphine,oat
x4010641000033111,Buprenorphine 2mg / Naloxone 500microgram sublingual tablets sugar free,,,buprenorphine,oat
x4010741000033119,Buprenorphine 8mg / Naloxone 2mg sublingual tablets sugar free,,,buprenorphine,oat
x4010941000033116,Suboxone 8mg/2mg sublingual tablets (Indivior UK Ltd),,,buprenorphine,oat
x5749441000033115,Fluoxetine 20mg/5ml oral solution sugar free,,,fluoxetine,antidepressant
x4498641000033115,Prozep 20mg/5ml oral solution (Chemidex Pharma Ltd),,,fluoxetine,antidepressant
x5966741000033116,Diamorphine 25mg/5ml oral solution,,,diamorphine,other_opiates
x451141000033116,Diamorphine 3mg/5ml oral solution,,,diamorphine,other_opiates
x370941000033119,Co-codaprin 8mg/400mg tablets,,,codeine,other_opiates
x4259141000033113,Tramadol 50mg modified-release tablets,,,tramadol,other_opiates
x4259241000033118,Zydol SR 50mg tablets (Grunenthal Ltd),,,tramadol,other_opiates
x5968441000033110,Gabapentin 200mg/5ml oral solution,,,gabapentin,gabapentinoids
x5968341000033116,Gabapentin 200mg/5ml oral suspension,,,gabapentin,gabapentinoids
x8125341000033112,Gabapentin 500mg/5ml oral suspension,,,gabapentin,gabapentinoids
x4268241000033115,Eptadone 5mg/ml oral solution (Dee Pharmaceuticals Ltd),,,methadone,oat
x7859941000033112,Morphine hydrochloride 10mg/5ml oral solution,,,morphine,other_opiates
x11275941000033119,Oxazepam 10mg/5ml oral suspension,,,oxazepam,benzodiazepine
x4434241000033119,Morphine sulfate 5mg/5ml oral solution,,,morphine,other_opiates
x6067641000033118,Methadone 100mg capsules,,,methadone,oat
x5008841000033117,Methadone 30mg capsules,,,methadone,oat
x10645941000033110,Morphine sulfate 5mg/5ml solution for injection ampoules,,,morphine,other_opiates
x5996641000033111,Lofepramine 70mg/5ml oral solution,,,lofepramine,antidepressant
x5996741000033119,Lofepramine 70mg/5ml oral suspension,,,lofepramine,antidepressant
x5490141000033118,Amitriptyline 10mg/5ml oral solution,,,amitriptyline,antidepressant
x5891241000033112,Co-dydramol 10mg/500mg/5ml oral solution,,,codeine,other_opiates
x2762441000033119,Diazepam 10mg/5ml oral suspension,,,diazepam,benzodiazepine
x3345241000033111,Diazepam 2.5mg/5ml oral suspension,,,diazepam,benzodiazepine
x5100341000033117,Gabapentin 400mg/5ml oral solution,,,gabapentin,gabapentinoids
x5993441000033118,Gabapentin 400mg/5ml oral suspension,,,gabapentin,gabapentinoids
x5997941000033119,Pregabalin 75mg/5ml oral solution,,,pregabalin,gabapentinoids
x3993541000033113,Pregabalin 75mg/5ml oral suspension,,,pregabalin,gabapentinoids
x6000441000033115,Venlafaxine 37.5mg/5ml oral solution,,,venlafaxine,antidepressant
x5008041000033112,Venlafaxine 75mg/5ml oral solution,,,venlafaxine,antidepressant
x8867941000033118,Venlafaxine 75mg/5ml oral suspension,,,venlafaxine,antidepressant
x795641000033110,Kaolin and Morphine mixture,,,morphine,other_opiates
x1035241000033117,Papaveretum 15.4mg/1ml solution for injection ampoules,,,papaveretum,other_opiates
x1035841000033118,Papaveretum 7.7mg/1ml solution for injection ampoules,,,papaveretum,other_opiates
x4893741000033114,Abstral 100microgram sublingual tablets (Kyowa Kirin Ltd),,,fentanyl,other_opiates
x4893141000033110,Fentanyl 100microgram sublingual tablets sugar free,,,fentanyl,other_opiates
x4893241000033115,Fentanyl 200microgram sublingual tablets sugar free,,,fentanyl,other_opiates
x4893841000033116,Abstral 200microgram sublingual tablets (Kyowa Kirin Ltd),,,fentanyl,other_opiates
x4893341000033113,Fentanyl 300microgram sublingual tablets sugar free,,,fentanyl,other_opiates
x4893941000033112,Abstral 300microgram sublingual tablets (Kyowa Kirin Ltd),,,fentanyl,other_opiates
x9178641000033110,Recivit 400microgram sublingual tablets (Grunenthal Ltd),,,fentanyl,other_opiates
x4893441000033119,Fentanyl 400microgram sublingual tablets sugar free,,,fentanyl,other_opiates
x4894041000033114,Abstral 400microgram sublingual tablets (Kyowa Kirin Ltd),,,fentanyl,other_opiates
x4894141000033113,Abstral 600microgram sublingual tablets (Kyowa Kirin Ltd),,,fentanyl,other_opiates
x4893541000033118,Fentanyl 600microgram sublingual tablets sugar free,,,fentanyl,other_opiates
x9178841000033111,Recivit 800microgram sublingual tablets (Grunenthal Ltd),,,fentanyl,other_opiates
x4893641000033117,Fentanyl 800microgram sublingual tablets sugar free,,,fentanyl,other_opiates
x4894241000033118,Abstral 800microgram sublingual tablets (Kyowa Kirin Ltd),,,fentanyl,other_opiates
x4907141000033114,Effentora 100microgram buccal tablets (Teva UK Ltd),,,fentanyl,other_opiates
x4906441000033116,Fentanyl 100microgram buccal tablets sugar free,,,fentanyl,other_opiates
x4906541000033115,Fentanyl 200microgram buccal tablets sugar free,,,fentanyl,other_opiates
x4907241000033119,Effentora 200microgram buccal tablets (Teva UK Ltd),,,fentanyl,other_opiates
x4907341000033112,Effentora 400microgram buccal tablets (Teva UK Ltd),,,fentanyl,other_opiates
x4906641000033119,Fentanyl 400microgram buccal tablets sugar free,,,fentanyl,other_opiates
x4906741000033111,Fentanyl 600microgram buccal tablets sugar free,,,fentanyl,other_opiates
x4907441000033118,Effentora 600microgram buccal tablets (Teva UK Ltd),,,fentanyl,other_opiates
x4907541000033117,Effentora 800microgram buccal tablets (Teva UK Ltd),,,fentanyl,other_opiates
x4906841000033118,Fentanyl 800microgram buccal tablets sugar free,,,fentanyl,other_opiates
x8298641000033115,Sunveniz XL 150mg tablets (Sun Pharmaceutical Industries Europe B.V.),,,venlafaxine,antidepressant
x12605441000033117,Venladex XL 150mg tablets (Dexcel-Pharma Ltd),,,venlafaxine,antidepressant
x4823641000033111,Venlafaxine 150mg modified-release tablets,,,venlafaxine,antidepressant
x4823841000033112,ViePax XL 150mg tablets (Dexcel-Pharma Ltd),,,venlafaxine,antidepressant
x5052941000033116,Venlalic XL 150mg tablets (Ethypharm UK Ltd),,,venlafaxine,antidepressant
x12605341000033111,Venladex XL 75mg tablets (Dexcel-Pharma Ltd),,,venlafaxine,antidepressant
x8298741000033112,Sunveniz XL 75mg tablets (Sun Pharmaceutical Industries Europe B.V.),,,venlafaxine,antidepressant
x5053041000033114,Venlalic XL 75mg tablets (Ethypharm UK Ltd),,,venlafaxine,antidepressant
x4823541000033110,Venlafaxine 75mg modified-release tablets,,,venlafaxine,antidepressant
x4823741000033119,ViePax XL 75mg tablets (Dexcel-Pharma Ltd),,,venlafaxine,antidepressant
x4898441000033114,Targinact 10mg/5mg modified-release tablets (Napp Pharmaceuticals Ltd),,,oxycodone,other_opiates
x4898141000033118,Oxycodone 10mg / Naloxone 5mg modified-release tablets,,,oxycodone,other_opiates
x4898241000033113,Oxycodone 20mg / Naloxone 10mg modified-release tablets,,,oxycodone,other_opiates
x4898341000033115,Targinact 20mg/10mg modified-release tablets (Napp Pharmaceuticals Ltd),,,oxycodone,other_opiates
x11072841000033114,Nortriptyline 10mg/5ml oral solution,,,nortriptyline,antidepressant
x12257841000033117,Nortriptyline 10mg/5ml oral suspension,,,nortriptyline,antidepressant
x368441000033116,Codeine 15mg/5ml linctus,,,codeine,other_opiates
x4957341000033119,Pregabalin 150mg/5ml oral suspension,,,pregabalin,gabapentinoids
x5055841000033118,Morphine sulfate 10mg/1ml suspension for injection vials,,,morphine,other_opiates
x5055941000033114,Depodur 10mg/1ml suspension for injection vials (Flynn Pharma Ltd),,,morphine,other_opiates
x12605541000033116,Venladex XL 225mg tablets (Dexcel-Pharma Ltd),,,venlafaxine,antidepressant
x5052841000033112,Venlalic XL 225mg tablets (Ethypharm UK Ltd),,,venlafaxine,antidepressant
x5052741000033119,Venlafaxine 225mg modified-release tablets,,,venlafaxine,antidepressant
x5077141000033117,Valdoxan 25mg tablets (Servier Laboratories Ltd),,,agomelatine,antidepressant
x5077041000033116,Agomelatine 25mg tablets,,,agomelatine,antidepressant
x5128641000033118,Cipralex 20mg/ml oral drops (Lundbeck Ltd),,,escitalopram,antidepressant
x5128541000033119,Escitalopram 20mg/ml oral drops sugar free,,,escitalopram,antidepressant
x6013841000033113,Pregabalin 75mg oral powder sachets,,,pregabalin,gabapentinoids
x12186941000033118,Shortec 50mg/1ml solution for injection ampoules (Qdem Pharmaceuticals Ltd),,,oxycodone,other_opiates
x5131441000033111,Oxycodone 50mg/1ml solution for injection ampoules,,,oxycodone,other_opiates
x5131541000033112,OxyNorm 50mg/1ml solution for injection ampoules (Napp Pharmaceuticals Ltd),,,oxycodone,other_opiates
x11749841000033117,Palladone 50mg/1ml solution for injection ampoules (Napp Pharmaceuticals Ltd),,,hydromorphone,other_opiates
x3907041000033112,Hydromorphone 50mg/1ml solution for injection ampoules,,,hydromorphone,other_opiates
x5234341000033117,Oxycodone 40mg / Naloxone 20mg modified-release tablets,,,oxycodone,other_opiates
x5234541000033112,Targinact 40mg/20mg modified-release tablets (Napp Pharmaceuticals Ltd),,,oxycodone,other_opiates
x5234241000033110,Oxycodone 5mg / Naloxone 2.5mg modified-release tablets,,,oxycodone,other_opiates
x5234441000033111,Targinact 5mg/2.5mg modified-release tablets (Napp Pharmaceuticals Ltd),,,oxycodone,other_opiates
x5299841000033116,Fentanyl 100micrograms/dose nasal spray,,,fentanyl,other_opiates
x5300141000033112,Instanyl 100micrograms/dose nasal spray (Takeda UK Ltd),,,fentanyl,other_opiates
x5992441000033110,PecFent 100micrograms/dose nasal spray (Kyowa Kirin Ltd),,,fentanyl,other_opiates
x5300241000033117,Instanyl 200micrograms/dose nasal spray (Takeda UK Ltd),,,fentanyl,other_opiates
x5299941000033112,Fentanyl 200micrograms/dose nasal spray,,,fentanyl,other_opiates
x5299741000033114,Fentanyl 50micrograms/dose nasal spray,,,fentanyl,other_opiates
x5300041000033113,Instanyl 50micrograms/dose nasal spray (Takeda UK Ltd),,,fentanyl,other_opiates
x5319941000033116,Diamorphine 100mg powder for solution for injection vials,,,diamorphine,other_opiates
x5319541000033110,Diamorphine 10mg powder for solution for injection vials,,,diamorphine,other_opiates
x5319641000033111,Diamorphine 30mg powder for solution for injection vials,,,diamorphine,other_opiates
x5319741000033119,Diamorphine 500mg powder for solution for injection vials,,,diamorphine,other_opiates
x5319841000033112,Diamorphine 5mg powder for solution for injection vials,,,diamorphine,other_opiates
x5454141000033118,Imipramine 25mg/5ml oral solution sugar free,,,imipramine,antidepressant
x8126841000033113,Bufyl 1mg/ml and 2micrograms/ml 250ml infusion bags (Advanz Pharma),,,fentanyl,other_opiates
x8126741000033115,Bufyl 1mg/ml and 2micrograms/ml 500ml infusion bags (Advanz Pharma),,,fentanyl,other_opiates
x5595941000033118,Tramadol 37.5mg / Paracetamol 325mg effervescent tablets sugar free,,,tramadol,other_opiates
x5596041000033111,Tramacet 37.5mg/325mg effervescent tablets (Grunenthal Ltd),,,tramadol,other_opiates
x9703341000033113,Gabapentin 6% gel,,,gabapentin,gabapentinoids
x5992341000033116,PecFent 400micrograms/dose nasal spray (Kyowa Kirin Ltd),,,fentanyl,other_opiates
x5992141000033119,Fentanyl 400micrograms/dose nasal spray,,,fentanyl,other_opiates
x12583641000033114,Solpadeine Max soluble tablets (Omega Pharma Ltd),,,codeine,other_opiates
x10492241000033118,Longtec 120mg modified-release tablets (Qdem Pharmaceuticals Ltd),,,oxycodone,other_opiates
x6125741000033119,OxyContin 120mg modified-release tablets (Napp Pharmaceuticals Ltd),,,oxycodone,other_opiates
x6125341000033115,Oxycodone 120mg modified-release tablets,,,oxycodone,other_opiates
x6133241000033114,Tapentadol 100mg modified-release tablets,,,tapentadol,other_opiates
x6133941000033117,Palexia SR 100mg tablets (Grunenthal Ltd),,,tapentadol,other_opiates
x6134041000033115,Palexia SR 150mg tablets (Grunenthal Ltd),,,tapentadol,other_opiates
x6133341000033116,Tapentadol 150mg modified-release tablets,,,tapentadol,other_opiates
x6133441000033110,Tapentadol 200mg modified-release tablets,,,tapentadol,other_opiates
x6134141000033116,Palexia SR 200mg tablets (Grunenthal Ltd),,,tapentadol,other_opiates
x6134241000033111,Palexia SR 250mg tablets (Grunenthal Ltd),,,tapentadol,other_opiates
x6133541000033111,Tapentadol 250mg modified-release tablets,,,tapentadol,other_opiates
x6133141000033119,Tapentadol 50mg modified-release tablets,,,tapentadol,other_opiates
x6133841000033113,Palexia SR 50mg tablets (Grunenthal Ltd),,,tapentadol,other_opiates
x6161841000033118,Venlalic XL 37.5mg tablets (Ethypharm UK Ltd),,,venlafaxine,antidepressant
x6161741000033111,Venlafaxine 37.5mg modified-release tablets,,,venlafaxine,antidepressant
x6431441000033110,Codipar 15mg/500mg capsules (Advanz Pharma),,,codeine,other_opiates
x6431341000033116,Co-codamol 15mg/500mg capsules,,,codeine,other_opiates
x6389141000033118,Tramadol 100mg/ml oral drops,,,tramadol,other_opiates
x6386441000033115,Co-codamol 15mg/500mg effervescent tablets sugar free,,,codeine,other_opiates
x6386541000033119,Codipar 15mg/500mg effervescent tablets (Advanz Pharma),,,codeine,other_opiates
x4655141000033113,HealthAid 5-HTP HydroxyTryptoPhan 50mg tablets (HealthAid Ltd),,,oxitriptan,antidepressant
x6456641000033117,Zopiclone 3.75mg/5ml oral solution,,,zopiclone,z-drugs
x3993641000033114,Diazepam 2mg/5ml oral suspension,,,diazepam,benzodiazepine
x4815541000033118,Methadone 5mg capsules,,,methadone,oat
x5008941000033113,Hydromorphone 20mg/1ml solution for injection ampoules,,,hydromorphone,other_opiates
x11749741000033110,Palladone 20mg/1ml solution for injection ampoules (Napp Pharmaceuticals Ltd),,,hydromorphone,other_opiates
x8126641000033112,Bufyl 1.25mg/ml and 2micrograms/ml 250ml infusion bags (Advanz Pharma),,,fentanyl,other_opiates
x8126541000033111,Bufyl 1.25mg/ml and 2micrograms/ml 500ml infusion bags (Advanz Pharma),,,fentanyl,other_opiates
x7871541000033119,Pregabalin 20mg/ml oral solution sugar free,,,pregabalin,gabapentinoids
x7871641000033118,Lyrica 20mg/ml oral solution (Pfizer Ltd),,,pregabalin,gabapentinoids
x10646141000033118,Morphine sulfate 10mg/10ml solution for injection ampoules,,,morphine,other_opiates
x8237041000033117,Gabapentin 50mg/ml oral solution sugar free,,,gabapentin,gabapentinoids
x8247941000033115,Tryptophan 500mg capsules,,,tryptophan,antidepressant
x8248041000033117,Optimax 500mg capsules (Intrapharm Laboratories Ltd),,,tryptophan,antidepressant
x12427941000033111,Morphine sulfate 1mg/1ml solution for injection ampoules,,,morphine,other_opiates
x10211241000033110,Fentanyl 2.5mg/50ml solution for infusion vials,,,fentanyl,other_opiates
x11444741000033116,Morphine 0.1% in Intrasite gel,,,morphine,other_opiates
x8883941000033112,Breakyl 200microgram buccal films (Meda Pharmaceuticals Ltd),,,fentanyl,other_opiates
x8883641000033117,Fentanyl 200microgram buccal films sugar free,,,fentanyl,other_opiates
x8883741000033114,Fentanyl 400microgram buccal films sugar free,,,fentanyl,other_opiates
x8884041000033114,Breakyl 400microgram buccal films (Meda Pharmaceuticals Ltd),,,fentanyl,other_opiates
x8884141000033113,Breakyl 800microgram buccal films (Meda Pharmaceuticals Ltd),,,fentanyl,other_opiates
x8883841000033116,Fentanyl 800microgram buccal films sugar free,,,fentanyl,other_opiates
x8885441000033118,Venlafaxine 37.5mg modified-release capsules,,,venlafaxine,antidepressant
x8885541000033117,Venlablue XL 37.5mg capsules (Creo Pharma Ltd),,,venlafaxine,antidepressant
x12194741000033114,Vencarm XL 37.5mg capsules (Aspire Pharma Ltd),,,venlafaxine,antidepressant
x8962341000033111,Mezolar Matrix 37.5microgram/hour transdermal patches (Sandoz Ltd),,,fentanyl,other_opiates
x8962241000033118,Fentanyl 37.5microgram/hour transdermal patches,,,fentanyl,other_opiates
x10044141000033116,Morphine 0.2% in Intrasite gel,,,morphine,other_opiates
x9120641000033112,Fluoxetine 20mg dispersible tablets sugar free,,,fluoxetine,antidepressant
x9120741000033115,Olena 20mg dispersible tablets (Advanz Pharma),,,fluoxetine,antidepressant
x9160141000033113,Tapentadol 20mg/ml oral solution sugar free,,,tapentadol,other_opiates
x9160241000033118,Palexia 20mg/ml oral solution (Grunenthal Ltd),,,tapentadol,other_opiates
x9178141000033117,Fentanyl 133microgram sublingual tablets sugar free,,,fentanyl,other_opiates
x9178441000033113,Recivit 133microgram sublingual tablets (Grunenthal Ltd),,,fentanyl,other_opiates
x9178541000033114,Recivit 267microgram sublingual tablets (Grunenthal Ltd),,,fentanyl,other_opiates
x9178241000033112,Fentanyl 267microgram sublingual tablets sugar free,,,fentanyl,other_opiates
x9178341000033119,Fentanyl 533microgram sublingual tablets sugar free,,,fentanyl,other_opiates
x9178741000033118,Recivit 533microgram sublingual tablets (Grunenthal Ltd),,,fentanyl,other_opiates
x9177941000033119,Zopiclone 7.5mg/5ml oral solution,,,zopiclone,z-drugs
x10045241000033110,Buprenorphine 1mg sublingual tablets sugar free,,,buprenorphine,oat
x10045541000033112,Gabup 1mg sublingual tablets (Martindale Pharmaceuticals Ltd),,,buprenorphine,oat
x10045941000033118,Gabup 4mg sublingual tablets (Martindale Pharmaceuticals Ltd),,,buprenorphine,oat
x10045641000033113,Buprenorphine 4mg sublingual tablets sugar free,,,buprenorphine,oat
x10045441000033111,Buprenorphine 6mg sublingual tablets sugar free,,,buprenorphine,oat
x10046041000033111,Gabup 6mg sublingual tablets (Martindale Pharmaceuticals Ltd),,,buprenorphine,oat
x10332441000033118,Amitriptyline 10mg/5ml oral solution sugar free,,,amitriptyline,antidepressant
x10488141000033111,Ayendi 1600micrograms/actuation nasal spray (Wockhardt UK Ltd),,,diamorphine,other_opiates
